trackingId,senderName,receiverName,receiverAddress,pickupRider,zone,deliveryRider,status,warehouseAt,sortedAt,dispatchedAt,deliveredAt,userId,replyToken,requestedAt
TX100,สมชาย,คุณเอ,123 หมู่ 4 อ.เมือง จ.เชียงใหม่ 50200,วิน,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:00:00,2025-06-05 09:01:00,2025-06-05 09:02:00,2025-06-05 09:32:00,U65ce0fa39cae4c7792157a72606f09f0,d1e438b0419d422084ec758ab024af0a,
TX101,อารีย์,คุณเด่น,45/2 ถ.ราชดำเนิน อ.เมือง จ.ลำพูน 51000,ไทด์,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:02:00,2025-06-05 09:03:00,2025-06-05 09:04:00,2025-06-05 09:51:00,U65ce0fa39cae4c7792157a72606f09f0,83b4e08613d1482c881317aadd276127,
TX102,พงษ์เทพ,คุณนิ,77 ม.7 ต.แม่เหียะ อ.เมือง จ.เชียงใหม่ 50100,วิน,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:04:00,2025-06-05 09:05:00,2025-06-05 09:06:00,2025-06-05 09:52:00,,,
TX103,สุรัตน์,คุณณี,99 ถ.พระราม 2 อ.เมือง จ.กรุงเทพฯ 10150,วิน,กรุงเทพ,วิน,จัดส่งสำเร็จ,2025-06-05 09:06:00,2025-06-05 09:07:00,2025-06-05 09:08:00,2025-06-05 09:18:00,,,
TX104,กานต์,คุณตูน,888 ถ.สุขุมวิท อ.บางนา จ.กรุงเทพฯ 10260,วิน,กรุงเทพ,วิน,จัดส่งสำเร็จ,2025-06-05 09:08:00,2025-06-05 09:09:00,2025-06-05 09:10:00,2025-06-05 09:53:00,,,
TX105,นารี,คุณไทด์,101 ม.5 อ.เมือง จ.นนทบุรี 11000,ไทด์,ปริมณฑล,ไทด์,จัดส่งสำเร็จ,2025-06-05 09:10:00,2025-06-05 09:11:00,2025-06-05 09:12:00,2025-06-05 09:36:00,,,
TX106,ธงชัย,คุณไผ่,234 หมู่ 8 ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,ไทด์,ปริมณฑล,ไทด์,จัดส่งสำเร็จ,2025-06-05 09:12:00,2025-06-05 09:13:00,2025-06-05 09:14:00,2025-06-05 09:29:00,,,
TX107,สมชาย,คุณเอ,123 หมู่ 4 อ.เมือง จ.เชียงใหม่ 50200,วิน,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:14:00,2025-06-05 09:15:00,2025-06-05 09:16:00,2025-06-05 09:39:00,,,
TX108,อารีย์,คุณเด่น,45/2 ถ.ราชดำเนิน อ.เมือง จ.ลำพูน 51000,ไทด์,ภาคเหนือ,พีท,จัดส่งสำเร็จ,2025-06-05 09:16:00,2025-06-05 09:17:00,2025-06-05 09:18:00,2025-06-05 09:51:00,,,
TX109,พงษ์เทพ,คุณนิ,77 ม.7 ต.แม่เหียะ อ.เมือง จ.เชียงใหม่ 50100,วิน,ภาคเหนือ,พีท,พัสดุตีกลับ (ไม่สำเร็จ),2025-06-05 09:18:00,2025-06-05 09:19:00,2025-06-05 09:20:00,2025-06-05 10:00:00,,,
